City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
186,Luwuk,ID,86.05,clear sky,-0.95,122.79,Hotel Santika Luwuk
187,Kolokani,ML,79.02,clear sky,13.57,-8.03,Lycee Famolo Coulibalibali De Kolokani
188,Port Keats,AU,88.5,clear sky,-14.25,129.55,TDC Village (Hundred Man Camp)
191,Jiwani,PK,76.01,clear sky,25.05,61.74,Al Mumtaz Transport Jiwani
192,Hoi An,VN,75.2,broken clouds,15.88,108.33,Belle Maison Hadana Hoi An managed by H&K Hospitality
196,Touros,BR,77.0,broken clouds,-5.2,-35.46,INN NEW HORIZON
197,Pedro Carbo,EC,78.8,few clouds,-1.83,-80.23,Hotel eclipse
198,Wanning,CN,71.4,overcast clouds,18.8,110.4,Paradise Hotel
199,Balsas,BR,79.74,broken clouds,-7.53,-46.04,Novo Hotel
200,Chapada Dos Guimaraes,BR,84.2,clear sky,-15.46,-55.75,Pousada Morro Dos Ventos
206,Reconquista,AR,70.57,overcast clouds,-29.15,-59.65,Grand Hotel
207,Benguela,AO,74.52,broken clouds,-12.58,13.41,Hotel Praia Morena
212,Bargarh,IN,70.39,broken clouds,21.33,83.62,HOTEL VD PALACE
221,Sao Filipe,CV,80.31,broken clouds,14.9,-24.5,Tortuga B&B
222,Cartagena,CO,84.2,broken clouds,10.4,-75.51,Costa Del Sol
223,Nelson Bay,AU,73.0,light intensity shower rain,-32.72,152.15,Mantra Nelson Bay
224,Victoria,HK,73.99,light rain,22.29,114.16,Mini Hotel Central
226,Serrinha,BR,70.77,clear sky,-11.66,-39.01,Hotel Serra Sol
228,Kavaratti,IN,80.33,broken clouds,10.57,72.64,Hotels in Lakshadweep Islands
229,Marsh Harbour,BS,79.43,clear sky,26.54,-77.06,Abaco Beach Resort
233,Chauk,MM,77.09,broken clouds,20.88,94.82,Bo Khin Guest House
236,Hukuntsi,BW,75.7,clear sky,-24.0,21.75,Entabeni Hotel
237,Sompeta,IN,78.15,few clouds,18.93,84.6,V.B.R A/C Lodge And Function Hall
238,Dawei,MM,76.84,scattered clouds,14.08,98.2,Hotel Dawei
239,Phulji,PK,70.29,clear sky,26.88,67.68,Village Hamza khan jamali
242,Caravelas,BR,72.93,broken clouds,-17.71,-39.25,Pousada dos Navegantes
244,Quatre Cocos,MU,73.4,scattered clouds,-20.21,57.76,Emeraude Beach Attitude Hotel
245,Perth,AU,70.0,clear sky,-31.93,115.83,Parmelia Hilton Perth
246,Bambous Virieux,MU,73.4,scattered clouds,-20.34,57.76,Casa Tia Villa
248,Bucerias,MX,87.8,scattered clouds,20.75,-105.33,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
250,Itarema,BR,79.52,few clouds,-2.92,-39.92,Windvillage
252,Monrovia,LR,78.51,light rain,6.3,-10.8,Eco-Hotel Hall & Restaurant
