City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
174,Severo-Kurilsk,RU,50.68,156.12,43.56,85,100,36.13,moderate rain
175,Yellowknife,CA,62.46,-114.35,23.0,67,20,4.7,few clouds
176,Briancon,FR,44.9,6.65,51.01,93,63,1.88,broken clouds
177,Saskylakh,RU,71.92,114.08,17.44,96,100,5.59,light snow
178,Mitu,CO,1.2,-70.17,73.09,95,100,1.41,overcast clouds
179,Longyearbyen,SJ,78.22,15.64,21.2,79,75,5.82,broken clouds
180,Bay Roberts,CA,47.6,-53.26,37.99,94,0,4.03,clear sky
181,Manado,ID,1.49,124.85,87.8,62,20,3.36,few clouds
182,Anadyr,RU,64.75,177.48,24.8,100,40,2.24,fog
183,Ilulissat,GL,69.22,-51.1,21.2,62,95,5.82,overcast clouds
184,Port Elizabeth,ZA,-33.92,25.57,68.0,94,90,19.46,overcast clouds
185,Cidreira,BR,-30.18,-50.21,67.95,93,100,15.35,overcast clouds
186,Luwuk,ID,-0.95,122.79,86.05,64,10,3.74,clear sky
187,Kolokani,ML,13.57,-8.03,79.02,31,0,3.8,clear sky
188,Port Keats,AU,-14.25,129.55,88.5,60,0,10.09,clear sky
189,Ozinki,RU,51.18,49.68,50.25,91,100,11.68,light rain
190,Broken Hill,AU,-31.95,141.43,53.6,93,90,29.97,overcast clouds
191,Jiwani,PK,25.05,61.74,76.01,31,0,20.29,clear sky
192,Hoi An,VN,15.88,108.33,75.2,73,75,2.24,broken clouds
193,Hailey,US,43.52,-114.32,44.6,19,5,5.82,clear sky
194,Maloy,NO,61.94,5.11,44.01,81,100,16.11,light rain
195,Lang Son,VN,21.83,106.73,66.69,65,82,4.74,broken clouds
196,Touros,BR,-5.2,-35.46,77.0,94,75,10.29,broken clouds
197,Pedro Carbo,EC,-1.83,-80.23,78.8,69,20,13.87,few clouds
198,Wanning,CN,18.8,110.4,71.4,73,100,17.69,overcast clouds
199,Balsas,BR,-7.53,-46.04,79.74,67,60,3.49,broken clouds
200,Chapada Dos Guimaraes,BR,-15.46,-55.75,84.2,58,0,3.36,clear sky
201,Kaitangata,NZ,-46.28,169.85,66.99,58,3,4.9,clear sky
202,Qasigiannguit,GL,68.82,-51.19,21.2,62,93,5.82,overcast clouds
203,Bud,US,39.45,-86.18,46.99,100,100,11.41,overcast clouds
204,Port-Cartier,CA,50.03,-66.87,35.01,100,90,16.11,overcast clouds
205,Zyryanka,RU,65.75,150.85,24.13,94,0,5.55,clear sky
206,Reconquista,AR,-29.15,-59.65,70.57,94,100,10.42,overcast clouds
207,Benguela,AO,-12.58,13.41,74.52,80,77,5.32,broken clouds
208,Torbay,CA,47.67,-52.73,39.2,86,75,3.65,broken clouds
209,Haicheng,CN,40.85,122.75,45.48,51,0,4.88,clear sky
210,Vestmannaeyjar,IS,63.44,-20.27,43.93,74,98,17.63,overcast clouds
211,Vagur,FO,61.47,-6.81,48.22,76,100,17.31,overcast clouds
212,Bargarh,IN,21.33,83.62,70.39,76,74,3.04,broken clouds
213,Cherskiy,RU,68.75,161.3,19.56,95,0,4.52,clear sky
214,Havoysund,NO,71.0,24.66,37.4,86,75,35.57,light rain
215,Bagaha,IN,27.1,84.08,69.73,85,0,5.14,clear sky
216,Lavrentiya,RU,65.58,-171.0,34.79,84,100,0.83,overcast clouds
217,Kurchum,KZ,48.57,83.65,39.06,76,100,7.78,overcast clouds
218,Chokurdakh,RU,70.63,147.92,10.29,91,98,7.34,overcast clouds
219,Zhigansk,RU,66.77,123.37,15.71,94,0,14.61,clear sky
220,Mayo,US,38.89,-76.51,66.99,88,1,10.29,clear sky
221,Sao Filipe,CV,14.9,-24.5,80.31,77,83,11.99,broken clouds
222,Cartagena,CO,10.4,-75.51,84.2,100,75,5.82,broken clouds
223,Nelson Bay,AU,-32.72,152.15,73.0,88,90,10.29,light intensity shower rain
224,Victoria,HK,22.29,114.16,73.99,48,100,15.64,light rain
225,Ust-Ilimsk,RU,58.0,102.66,30.51,97,42,4.47,scattered clouds
226,Serrinha,BR,-11.66,-39.01,70.77,86,0,12.08,clear sky
227,Alice Springs,AU,-23.7,133.88,69.8,52,40,9.17,scattered clouds
228,Kavaratti,IN,10.57,72.64,80.33,77,74,12.03,broken clouds
229,Marsh Harbour,BS,26.54,-77.06,79.43,76,0,15.99,clear sky
230,Gornopravdinsk,RU,60.05,69.9,16.45,97,0,4.18,clear sky
231,Zhanaozen,KZ,43.3,52.8,47.16,57,0,9.1,clear sky
232,Khandyga,RU,62.67,135.6,15.98,89,54,1.28,broken clouds
233,Chauk,MM,20.88,94.82,77.09,85,69,15.75,broken clouds
234,Veinticinco De Mayo,AR,-35.43,-60.17,64.99,94,42,1.99,scattered clouds
235,Vigrestad,NO,58.57,5.7,45.0,97,100,8.84,overcast clouds
236,Hukuntsi,BW,-24.0,21.75,75.7,20,0,9.55,clear sky
237,Sompeta,IN,18.93,84.6,78.15,70,21,3.22,few clouds
238,Dawei,MM,14.08,98.2,76.84,82,29,3.96,scattered clouds
239,Phulji,PK,26.88,67.68,70.29,21,0,5.84,clear sky
240,Upernavik,GL,72.79,-56.15,21.67,91,100,6.53,overcast clouds
241,Hailar,CN,49.2,119.7,30.83,92,0,5.01,clear sky
242,Caravelas,BR,-17.71,-39.25,72.93,90,83,7.11,broken clouds
243,Taksimo,RU,56.34,114.88,25.59,90,10,0.58,clear sky
244,Quatre Cocos,MU,-20.21,57.76,73.4,73,40,9.17,scattered clouds
245,Perth,AU,-31.93,115.83,70.0,52,0,17.22,clear sky
246,Bambous Virieux,MU,-20.34,57.76,73.4,73,40,9.17,scattered clouds
247,Port Hardy,CA,50.7,-127.42,44.6,93,90,8.05,light intensity shower rain
248,Bucerias,MX,20.75,-105.33,87.8,74,40,10.29,scattered clouds
249,Gazli,UZ,40.13,63.45,44.35,57,97,8.19,overcast clouds
250,Itarema,BR,-2.92,-39.92,79.52,80,21,16.15,few clouds
251,Beringovskiy,RU,63.05,179.32,33.75,90,100,22.66,overcast clouds
252,Monrovia,LR,6.3,-10.8,78.51,86,62,7.29,light rain
253,Ust-Kuyga,RU,70.02,135.6,16.5,88,38,13.2,scattered clouds
254,Tabuk,PH,17.42,121.44,80.8,78,100,1.7,overcast clouds
255,Qinzhou,CN,21.95,108.62,67.69,63,100,10.51,overcast clouds
256,Mazyr,BY,52.05,29.25,51.15,93,100,5.21,overcast clouds
257,Bonavista,CA,48.65,-53.11,39.0,88,20,1.99,few clouds
258,Belmonte,BR,-15.86,-38.88,71.6,94,90,4.7,overcast clouds
259,Komsomolskiy,UZ,40.43,71.72,41.0,62,100,1.48,overcast clouds
260,Analipsis,GR,35.32,25.57,70.0,93,40,3.36,scattered clouds
261,Orapa,BW,-21.28,25.37,74.98,37,0,7.54,clear sky
262,Lakatoro,VU,-16.1,167.42,82.4,74,75,8.05,heavy intensity rain
263,Mehamn,NO,71.04,27.85,37.22,93,100,28.25,light rain
264,Maloyaroslavets,RU,55.01,36.47,52.0,82,1,8.01,clear sky
265,Ucluelet,CA,48.93,-125.55,48.99,76,90,6.93,overcast clouds
266,Tual,ID,-5.67,132.75,82.47,77,15,8.01,few clouds
267,Geraldton,AU,-28.77,114.6,77.0,25,0,9.17,clear sky
268,Kukushtan,RU,57.65,56.5,24.8,92,90,13.42,snow
269,San Policarpo,PH,12.18,125.51,84.02,72,82,3.87,broken clouds
270,Jega,NG,12.22,4.38,78.64,21,85,5.88,overcast clouds
271,Coahuayana,MX,18.73,-103.68,78.8,83,75,11.41,broken clouds
272,Porto Novo,BJ,6.5,2.6,77.27,89,77,5.64,broken clouds
273,Chau Doc,VN,10.7,105.12,80.19,74,81,5.79,broken clouds
274,San Andres,CO,12.58,-81.7,80.6,88,20,2.24,few clouds
275,Chara,RU,56.91,118.26,28.89,90,93,0.72,overcast clouds
276,Ejea De Los Caballeros,ES,42.13,-1.14,44.6,87,0,4.05,clear sky
277,Petropavl,KZ,54.88,69.16,21.2,85,90,6.71,overcast clouds
278,Ceres,US,37.59,-120.96,77.0,22,1,9.17,clear sky
279,Chuy,UY,-33.7,-53.46,61.86,98,32,5.32,scattered clouds
280,Codrington,AU,-38.27,141.97,53.65,69,69,18.63,broken clouds
281,Airai,TL,-8.93,125.41,75.85,65,7,1.83,clear sky
282,Tahoua,NE,14.89,5.27,80.6,19,0,4.7,clear sky
283,Muravlenko,RU,63.79,74.52,10.89,96,52,7.67,broken clouds
284,Biscarrosse,FR,44.39,-1.17,55.4,87,20,4.7,few clouds
285,Bogorodskoye,RU,56.55,37.88,47.44,87,89,13.38,overcast clouds
286,Nishihara,JP,26.18,127.76,73.4,46,75,11.41,broken clouds
287,Debre Tabor,ET,11.85,38.02,50.23,84,83,3.15,broken clouds
288,Skjervoy,NO,70.03,20.97,39.07,89,100,26.06,light rain
289,Ponta Delgada,PT,37.73,-25.67,66.2,77,20,16.11,few clouds
290,Katsuura,JP,35.13,140.3,68.0,55,75,12.75,broken clouds
291,San Jose,US,37.34,-121.89,69.8,56,20,11.41,few clouds
292,Birobidzhan,RU,48.8,132.95,36.72,82,100,13.8,light rain
293,Carauari,BR,-4.88,-66.9,74.86,95,64,1.57,broken clouds
294,Zharkent,KZ,44.16,80.0,39.85,78,65,3.76,broken clouds
295,Verkhnetulomskiy,RU,68.61,31.8,30.2,100,75,3.53,broken clouds
296,Kholodnyy,RU,62.72,147.95,24.67,92,99,1.83,overcast clouds
297,Los Llanos De Aridane,ES,28.66,-17.92,68.0,68,40,9.17,scattered clouds
298,Bethel,US,41.37,-73.41,61.0,97,95,1.01,overcast clouds
299,Marawi,PH,8.0,124.29,82.99,76,47,1.99,scattered clouds
300,Letka,RU,59.6,49.42,36.23,95,100,9.28,light rain
301,Puerto Escondido,MX,15.85,-97.07,84.2,66,75,8.05,broken clouds
302,Jodhpur,IN,26.29,73.03,72.77,26,0,2.06,clear sky
303,Khash,IR,28.22,61.22,44.56,50,0,6.02,clear sky
304,Waipawa,NZ,-41.41,175.52,66.2,63,0,19.46,clear sky
305,Werda,BW,-25.27,23.28,79.12,24,5,5.68,clear sky
306,Huayucachi,PE,-12.13,-75.23,53.98,63,100,7.83,light rain
307,Wilmington,US,34.23,-77.94,71.01,83,1,3.53,clear sky
308,Ust-Omchug,RU,61.15,149.63,33.3,93,100,2.28,overcast clouds
309,Olafsvik,IS,64.89,-23.71,42.94,76,22,13.87,few clouds
310,Gobabis,NA,-22.45,18.97,70.66,23,61,14.85,broken clouds
311,Saint George,US,37.1,-113.58,73.4,17,1,2.17,clear sky
312,Saint-Augustin,CA,51.23,-58.65,34.27,83,84,0.18,broken clouds
313,Hastings,GB,50.86,0.57,53.01,92,66,15.97,broken clouds
314,Buala,SB,-8.14,159.59,87.03,63,52,5.82,broken clouds
315,Jaltenango,MX,15.87,-92.72,72.73,85,100,1.81,moderate rain
316,Ukiah,US,39.15,-123.21,77.0,31,1,6.93,clear sky
317,Ritchie,ZA,-29.04,24.6,78.8,36,84,17.22,broken clouds
318,Hirara,JP,24.8,125.28,75.2,60,75,12.75,broken clouds
319,Evensk,RU,61.95,159.23,33.75,88,52,3.47,broken clouds
320,Huangpi,CN,30.88,114.38,57.2,62,96,6.71,overcast clouds
321,San Jose De Comayagua,HN,14.73,-88.03,72.73,86,100,2.06,overcast clouds
322,Sampit,ID,-2.53,112.95,82.15,84,100,1.86,overcast clouds
323,Buckeye,US,33.37,-112.58,89.6,25,1,4.41,clear sky
324,Imeni Zhelyabova,RU,58.95,36.6,45.01,85,70,12.39,broken clouds
325,Hendaye,FR,43.37,-1.77,55.4,87,0,6.93,clear sky
326,Rantauprapat,ID,2.1,99.83,78.33,87,100,1.57,overcast clouds
327,Prado,BR,-17.34,-39.22,73.4,89,74,5.66,broken clouds
328,Malartic,CA,48.13,-78.13,35.6,100,90,9.17,mist
329,Mokhsogollokh,RU,61.47,128.92,20.03,92,95,4.43,overcast clouds
330,Morant Bay,JM,17.88,-76.41,75.2,94,90,8.05,shower rain
331,Souillac,MU,-20.52,57.52,73.4,73,40,9.17,scattered clouds
332,Manaure,CO,11.78,-72.44,84.61,73,100,14.79,overcast clouds
333,Hostotipaquillo,MX,21.07,-104.07,73.99,75,100,5.99,overcast clouds
334,Brecht,BE,51.35,4.63,55.99,90,6,5.99,clear sky
335,Port Hedland,AU,-20.32,118.57,84.2,54,0,11.41,clear sky
336,Mercedes,AR,-34.65,-59.43,66.99,92,76,4.0,broken clouds
337,Severo-Yeniseyskiy,RU,60.37,93.04,21.94,99,78,5.06,broken clouds
338,Kidal,ML,18.44,1.41,81.99,16,0,11.83,clear sky
339,Klaksvik,FO,62.23,-6.59,44.6,93,100,9.17,overcast clouds
340,Sisimiut,GL,66.94,-53.67,22.82,89,44,6.67,scattered clouds
341,Coffeyville,US,37.04,-95.62,44.6,65,90,11.41,overcast clouds
342,Niigata,JP,37.9,139.02,53.6,87,75,10.29,broken clouds
343,Vilyuysk,RU,63.76,121.62,24.22,96,100,6.82,overcast clouds
344,Kahului,US,20.89,-156.47,87.8,55,40,12.75,scattered clouds
345,Vardo,NO,70.37,31.11,37.47,96,100,25.28,overcast clouds
346,Bereda,ES,43.27,-7.54,52.0,86,97,8.99,overcast clouds
347,Chapais,CA,49.78,-74.85,33.8,100,90,11.41,light rain
348,Halifax,CA,44.65,-63.57,51.01,89,100,3.0,overcast clouds
349,Lodja,CD,-3.48,23.43,68.36,97,26,1.48,scattered clouds
350,Madison,US,34.73,-86.57,70.0,94,1,3.04,clear sky
351,Dodge City,US,37.75,-100.02,37.4,51,1,12.75,clear sky
352,Cap Malheureux,MU,-19.98,57.61,73.4,73,40,9.17,scattered clouds
353,Sturgis,US,41.8,-85.42,46.4,87,90,13.87,overcast clouds
354,Antofagasta,CL,-23.65,-70.4,57.2,87,90,11.41,overcast clouds
355,Kamiiso,JP,41.82,140.65,51.8,50,75,25.28,broken clouds
356,Madingou,CG,-4.15,13.55,75.97,84,100,4.12,light rain
357,Oranjemund,NA,-28.55,16.43,57.92,86,0,4.29,clear sky
358,Salinas,US,36.68,-121.66,69.8,56,1,12.75,clear sky
359,Mazagao,BR,-0.12,-51.29,84.2,74,0,12.75,clear sky
360,Palmer,US,42.16,-72.33,64.4,77,90,6.93,overcast clouds
361,Lhokseumawe,ID,5.18,97.15,80.69,78,22,3.09,light rain
